201501 243768 117.896607006020,31.668099124129 117.772482384550,31.790304958165 472405 311753 160652
201501 226581 117.772482384550,31.790304958165 117.617920028330,31.828816444822 464469 304768 159701
201501 215774 117.617920028330,31.828816444822 117.535888026790,31.887527127189 440226 300366 139860
201501 171391 117.241925363910,31.793738880194 117.239828808680,31.793767959870 418674 349824 68850
201501 171197 117.239828808680,31.793767959870 117.239250569420,31.794834310588 409110 340486 68624
201501 171674 117.239250569420,31.794834310588 117.242079962290,31.799120841469 407948 339964 67984
201501 156335 117.131414023460,32.414481717552 117.138954220250,32.379774157956 390921 305248 85673
201501 152547 117.138954220250,32.379774157956 117.115382054850,32.198154753073 374846 295000 79846
201501 151430 117.115382054850,32.198154753073 117.112273827960,32.072092533548 369476 290617 78859
201501 144886 117.132963780120,32.411702490216 117.068362858020,32.504485369249 355515 288140 67375
201501 309109 118.299330840720,31.381293764274 118.297004768440,31.378841174509 347125 262033 85092
201501 310609 118.415736412780,31.372418754701 118.309787386350,31.385331510090 347113 261818 85295
201501 318449 118.297004768440,31.378841174509 118.381313974450,31.392496842269 346248 261233 85015
201501 151775 117.112273827960,32.072092533548 117.112953036750,31.997905427938 345026 269540 75486
201501 339109 118.585665183050,32.293332467771 118.577261804490,32.288451516955 342310 209356 132954
201501 337544 118.577261804490,32.288451516955 118.556854818560,32.310706816316 342262 209350 132912
201501 337587 118.557592147720,32.312323406694 118.557841696990,32.312735445671 340381 207798 132583
201501 337516 118.556854818560,32.310706816316 118.557592147720,32.312323406694 340095 207585 132510
201501 318785 118.381323855810,31.392496379898 118.383085702410,31.392599103279 337387 241955 95432
201501 143660 117.108496992270,34.148746700869 117.053208803390,34.136355438772 337051 182519 154532
201501 309162 118.259598698190,31.414473360706 118.300768668520,31.386359896888 328150 240538 87612
201501 309242 118.300828585500,31.386269959738 118.299728879900,31.381791411215 328037 240452 87585
201501 309262 118.300768668520,31.386359896888 118.300828585500,31.386269959738 328035 240450 87585
201501 299058 118.299728879900,31.381791411215 118.216951105120,31.467477951832 327160 239652 87508
201501 339853 118.577461048650,32.288398557901 118.585665272880,32.293332620382 324899 192553 132346
201501 339084 118.557022981350,32.310488395099 118.577461048650,32.288398557901 324897 192552 132345
201501 171685 117.242079962290,31.799120841469 117.241830502850,31.799269837177 317984 264241 53743
201501 318943 118.383085702410,31.392599103279 118.384166363930,31.392716005894 316702 228237 88465
201501 320968 118.384166363930,31.392716005894 118.399168065950,31.382161581125 315705 227468 88237
201501 326222 118.558730031310,32.314002447948 118.441795536980,32.361032350139 311639 200789 110850
201501 320605 118.440184246380,32.361532993875 118.395153358970,32.387865987828 311611 200771 110840
201501 325757 118.441795536980,32.361032350139 118.440184246380,32.361532993875 311605 200771 110834
201501 327555 118.400066281630,31.381070951376 118.469756733260,31.353579715350 310303 223423 86880
201501 321013 118.399168065950,31.382161581125 118.400066281630,31.381070951376 308762 222950 85812
201501 337650 118.557841696990,32.312735445671 118.558730031310,32.314002447948 301374 192371 109003
201501 310036 118.333093743150,32.449057811284 118.306281749100,32.478071837003 300744 198654 102090
201501 181895 117.313865981010,31.803132592847 117.290840614180,31.801219725186 298577 204498 94079
201501 171938 117.251357571760,31.795647147223 117.243076093270,31.793404041250 297303 255360 41943
201501 172134 117.241830502850,31.799269837177 117.244813865270,31.794097963675 295482 244013 51469
201501 171866 117.243076093270,31.793404041250 117.241997497840,31.793710107418 295387 253737 41650
201501 337662 118.558211170050,32.316248571361 118.558331004010,32.313629932216 295283 183794 111489
