201709 339853 118.577461048650,32.288398557901 118.585665272880,32.293332620382 421030 292981 128049
201709 339109 118.585665183050,32.293332467771 118.577261804490,32.288451516955 419430 262414 157016
201709 337544 118.577261804490,32.288451516955 118.556854818560,32.310706816316 419196 262346 156850
201709 339084 118.557022981350,32.310488395099 118.577461048650,32.288398557901 418903 291172 127731
201709 171391 117.241925363910,31.793738880194 117.239828808680,31.793767959870 418353 369908 48445
201709 319827 118.328005830570,32.452407383419 118.392777430720,32.389981747393 415109 287604 127505
201709 310036 118.333093743150,32.449057811284 118.306281749100,32.478071837003 408997 276271 132726
201709 171197 117.239828808680,31.793767959870 117.239250569420,31.794834310588 404525 356312 48213
201709 171674 117.239250569420,31.794834310588 117.242079962290,31.799120841469 403096 355457 47639
201709 337587 118.557592147720,32.312323406694 118.557841696990,32.312735445671 400883 247640 153243
201709 297734 118.306281749100,32.478071837003 118.193674482230,32.630064485744 399258 267985 131273
201709 337516 118.556854818560,32.310706816316 118.557592147720,32.312323406694 397556 245441 152115
201709 143660 117.108496992270,34.148746700869 117.053208803390,34.136355438772 395697 216395 179302
201709 156335 117.131414023460,32.414481717552 117.138954220250,32.379774157956 385690 319375 66315
201709 326222 118.558730031310,32.314002447948 118.441795536980,32.361032350139 369666 242502 127164
201709 243768 117.896607006020,31.668099124129 117.772482384550,31.790304958165 366460 255809 110651
201709 337662 118.558211170050,32.316248571361 118.558331004010,32.313629932216 365343 257587 107756
201709 144886 117.132963780120,32.411702490216 117.068362858020,32.504485369249 365212 309290 55922
201709 152547 117.138954220250,32.379774157956 117.115382054850,32.198154753073 364523 304355 60168
201709 337650 118.557841696990,32.312735445671 118.558730031310,32.314002447948 360496 234207 126289
201709 151430 117.115382054850,32.198154753073 117.112273827960,32.072092533548 359692 300240 59452
201709 226581 117.772482384550,31.790304958165 117.617920028330,31.828816444822 356323 248141 108182
201709 337492 118.558331004010,32.313629932216 118.557022981350,32.310488395099 355375 248726 106649
201709 285934 118.193674482230,32.630064485744 118.058505733500,32.780680699221 352854 252645 100209
201709 337598 118.432412196940,32.364289839189 118.558211170050,32.316248571361 349754 246859 102895
201709 324794 118.392777430720,32.389981747393 118.432262179920,32.364320947283 349693 242783 106910
201709 215774 117.617920028330,31.828816444822 117.535888026790,31.887527127189 346966 242866 104100
201709 320605 118.440184246380,32.361532993875 118.395153358970,32.387865987828 341719 222580 119139
