timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525692447011292,-4,-1,4,5,1,-2,-2,-1
1525692447011292,-3,4,4,-1,2,1,0,0
1525692447012292,-4,-2,-6,-16,-7,-5,-3,-4
1525692447012292,1,9,4,1,3,2,4,2
1525692447013292,-2,-7,18,4,3,0,0,-2
1525692447013292,5,1,-59,3,3,-1,-1,0
1525692447014292,-6,2,8,2,-1,0,-1,-1
1525692447014292,6,-1,-4,-6,-7,-3,-3,-2
1525692447021293,6,1,16,-5,4,2,0,1
1525692447021293,-2,-1,7,-7,-4,-1,-1,-3
1525692447027293,1,7,2,13,2,-1,2,0
1525692447027293,5,-5,-9,-8,-1,1,0,0
1525692447042294,-1,3,-2,0,-4,-1,-3,-3
1525692447042294,3,-4,6,-9,-3,-1,0,0
1525692447051295,4,1,-6,-3,0,0,-1,0
1525692447051295,1,0,15,1,0,-2,0,-1
1525692447059295,-3,0,-14,5,0,0,1,-2
1525692447059295,-5,-4,3,1,0,1,-2,-3
1525692447083296,-4,3,7,-2,0,0,-1,0
1525692447083296,-8,-8,-4,3,0,-1,-2,-1
1525692447121299,1,8,9,4,4,0,-1,-1
1525692447121299,-4,-9,-8,-2,0,-1,0,0
1525692447122299,-3,14,7,5,1,-2,-1,0
1525692447122299,7,-5,-9,-11,-5,0,2,1
1525692447125299,6,10,18,5,-6,-4,-3,1
1525692447125299,9,-1,12,5,6,3,-3,2
1525692447126299,-36,-5,-33,-21,1,3,2,-8
1525692447126299,5,19,18,7,0,-1,-3,1
1525692447132299,-7,-64,-51,-10,-3,-2,0,-4
1525692447132299,8,20,15,7,-4,-4,-1,0
1525692447139300,13,-3,12,7,-3,-2,-1,3
1525692447139300,-9,8,-3,-4,0,-2,-2,-2
1525692447147300,0,-6,8,0,0,0,1,0
1525692447147300,-7,-8,-22,-4,-3,-1,-3,-2
1525692447162301,3,7,9,-3,-4,-3,-3,-3
1525692447162301,-2,-6,-5,-1,1,1,0,-2
1525692447169301,3,24,13,1,-1,0,1,3
1525692447169301,-5,-11,-7,-1,1,0,-9,-3
1525692447193303,12,-6,-1,0,-3,-1,2,2
1525692447193303,-1,9,-11,-4,-5,-4,-2,-1
1525692447194303,-2,-16,-8,-5,0,-2,-1,-2
1525692447194303,2,16,-6,-1,4,4,6,3
1525692447207304,10,-6,2,6,2,0,0,4
1525692447207304,-7,-18,12,-8,-4,-4,-3,-3
1525692447208304,11,-4,3,6,3,2,1,4
1525692447208304,-5,15,-9,-12,-5,-5,-1,-4
1525692447230305,-2,-8,2,5,5,4,1,-3
1525692447230305,3,19,0,8,0,-2,1,0
1525692447231305,3,25,3,-5,-2,-1,0,1
1525692447231305,-8,-87,-9,-7,-5,-43,-1,-2
1525692447253306,0,57,16,1,-2,38,-2,-2
1525692447253306,-1,16,5,-2,0,3,-1,-2
1525692447254306,-9,-66,-58,-4,-2,-7,-2,-5
1525692447254306,0,42,12,6,4,-15,4,7
1525692447268307,1,-7,-2,-8,-6,14,-3,-1
1525692447268307,2,24,24,8,7,-31,0,-17
1525692447268307,0,-1,-34,1,-6,63,-7,26
1525692447268307,-12,-10,-12,-10,-11,-23,2,-6
1525692447290308,-4,-12,-9,-1,-2,-4,-2,-1
1525692447290308,3,-6,10,4,3,8,4,11
1525692447291308,-2,20,12,-14,5,-12,4,-7
1525692447291308,-2,27,37,19,2,15,-3,-5
1525692447313310,2,-43,9,-4,-6,-11,0,8
1525692447313310,-7,6,-23,-3,1,11,-1,-5
1525692447314310,-6,-36,-35,0,-3,-23,-3,-6
1525692447314310,2,34,56,-6,-4,19,-3,4
1525692447327310,2,-25,-51,1,1,-16,-3,-11
1525692447327310,-7,-35,-1,-10,-5,-7,5,1
1525692447328310,2,42,47,5,-1,-5,-1,11
1525692447328310,10,13,-16,4,4,16,2,-16
1525692447350312,-1,21,30,3,2,-3,-1,2
1525692447350312,-2,-85,-3,5,-1,1,-6,-2
1525692447351312,-1,54,10,0,-1,-2,4,0
1525692447351312,9,-5,75,-1,-5,2,-8,8
1525692447373313,-11,-37,-104,-10,-3,-18,-1,-11
1525692447373313,4,16,6,-1,-2,9,-4,-7
1525692447374313,3,20,35,2,2,-4,2,-5
1525692447374313,1,-23,-19,3,2,3,1,13
1525692447387314,2,18,11,-2,2,-1,1,-4
1525692447387314,-1,6,-6,-3,-3,4,18,6
1525692447388314,-2,16,6,2,-4,-15,-23,-12
1525692447388314,0,-23,-20,-3,-1,14,-4,4
1525692447410315,-1,13,-36,1,-1,-11,21,8
1525692447410315,-4,26,68,2,2,-8,-28,-8
